Sectors Sector,Category Label,Source Label,Source Units,year,CO2 Generado
Transportation,On-Road,Passenger cars,VMT,2005,"12.860.259,42"
Transportation,On-Road,Medium duty trucks,VMT,2005,"387.163,75"
Transportation,On-Road,Heavy duty trucks,VMT,2005,"1.354.258,24"
Transportation,On-Road,SWCV,VMT,2005,"65.624,50"
Transportation,On-Road,Bus,VMT,2005,"687.062,32"
Transportation,On-Road,Passenger cars,VMT,2006,"12.814.722,88"
Transportation,On-Road,Medium duty trucks,VMT,2006,"388.271,90"
Transportation,On-Road,Heavy duty trucks,VMT,2006,"1.358.747,75"
Transportation,On-Road,SWCV,VMT,2006,"65.811,49"
Transportation,On-Road,Bus,VMT,2006,"652.810,34"
Transportation,On-Road,Passenger cars,VMT,2007,"12.768.565,23"
Transportation,On-Road,Medium duty trucks,VMT,2007,"389.443,75"
Transportation,On-Road,Heavy duty trucks,VMT,2007,"1.363.233,47"
Transportation,On-Road,SWCV,VMT,2007,"65.998,07"
Transportation,On-Road,Bus,VMT,2007,"716.878,02"
Transportation,On-Road,Passenger cars,VMT,2008,"12.721.697,73"
Transportation,On-Road,Medium duty trucks,VMT,2008,"390.679,29"
Transportation,On-Road,Heavy duty trucks,VMT,2008,"1.367.715,40"
Transportation,On-Road,SWCV,VMT,2008,"66.184,24"
Transportation,On-Road,Bus,VMT,2008,"614.273,40"
Transportation,On-Road,Passenger cars,VMT,2009,"12.674.142,34"
Transportation,On-Road,Medium duty trucks,VMT,2009,"391.978,52"
Transportation,On-Road,Heavy duty trucks,VMT,2009,"1.372.193,54"
Transportation,On-Road,SWCV,VMT,2009,"66.370,01"
Transportation,On-Road,Bus,VMT,2009,"604.648,08"
Transportation,On-Road,Passenger cars,VMT,2010,"12.626.053,16"
Transportation,On-Road,Medium duty trucks,VMT,2010,"393.341,43"
Transportation,On-Road,Heavy duty trucks,VMT,2010,"1.376.667,89"
Transportation,On-Road,SWCV,VMT,2010,"66.555,36"
Transportation,On-Road,Bus,VMT,2010,"594.743,80"
Transportation,On-Road,Passenger cars,VMT,2011,"12.577.248,04"
Transportation,On-Road,Medium duty trucks,VMT,2011,"394.768,04"
Transportation,On-Road,Heavy duty trucks,VMT,2011,"1.381.138,44"
Transportation,On-Road,SWCV,VMT,2011,"66.740,31"
Transportation,On-Road,Bus,VMT,2011,"563.982,05"
Transportation,On-Road,Passenger cars,VMT,2012,"12.527.969,43"
Transportation,On-Road,Medium duty trucks,VMT,2012,"396.258,34"
Transportation,On-Road,Heavy duty trucks,VMT,2012,"1.385.605,21"
Transportation,On-Road,SWCV,VMT,2012,"66.924,84"
Transportation,On-Road,Bus,VMT,2012,"566.297,38"
Transportation,On-Road,Passenger cars,VMT,2013,"12.477.868,05"
Transportation,On-Road,Medium duty trucks,VMT,2013,"397.812,33"
Transportation,On-Road,Heavy duty trucks,VMT,2013,"1.390.068,18"
Transportation,On-Road,SWCV,VMT,2013,"67.108,97"
Transportation,On-Road,Bus,VMT,2013,"567.108,79"
Transportation,On-Road,Passenger cars,VMT,2014,"12.426.564,12"
Transportation,On-Road,Medium duty trucks,VMT,2014,"398.976,43"
Transportation,On-Road,Heavy duty trucks,VMT,2014,"1.394.446,19"
Transportation,On-Road,SWCV,VMT,2014,"67.288,53"
Transportation,On-Road,Bus,VMT,2014,"579.754,91"
Transportation,On-Road,Passenger cars,VMT,2015,"12.376.103,90"
Transportation,On-Road,Medium duty trucks,VMT,2015,"401.111,37"
Transportation,On-Road,Heavy duty trucks,VMT,2015,"1.398.982,76"
Transportation,On-Road,SWCV,VMT,2015,"67.476,00"
Transportation,On-Road,Bus,VMT,2015,"561.324,45"
Transportation,On-Road,Passenger cars,VMT,2016,"12.414.475,57"
Transportation,On-Road,Medium duty trucks,VMT,2016,"402.354,82"
Transportation,On-Road,Heavy duty trucks,VMT,2016,"1.403.319,60"
Transportation,On-Road,SWCV,VMT,2016,"67.685,17"
Transportation,On-Road,Bus,VMT,2016,"547.879,57"
Transportation,On-Road,Passenger cars,VMT,2017,"12.452.705,89"
Transportation,On-Road,Medium duty trucks,VMT,2017,"403.602,12"
Transportation,On-Road,Heavy duty trucks,VMT,2017,"1.407.669,89"
Transportation,On-Road,SWCV,VMT,2017,"67.895,00"
Transportation,On-Road,Bus,VMT,2017,"532.070,52"
Transportation,On-Road,Passenger cars,VMT,2018,"12.491.490,24"
Transportation,On-Road,Medium duty trucks,VMT,2018,"404.853,29"
Transportation,On-Road,Heavy duty trucks,VMT,2018,"1.412.033,67"
Transportation,On-Road,SWCV,VMT,2018,"68.105,47"
Transportation,On-Road,Bus,VMT,2018,"538.990,59"
Transportation,On-Road,Passenger cars,VMT,2019,"12.530.201,75"
Transportation,On-Road,Medium duty trucks,VMT,2019,"406.108,33"
Transportation,On-Road,Heavy duty trucks,VMT,2019,"1.416.410,98"
Transportation,On-Road,SWCV,VMT,2019,"68.316,60"
Transportation,On-Road,Bus,VMT,2019,"484.765,46"
Transportation,On-Road,Passenger cars,VMT,2020,"9.689.446,79"
Transportation,On-Road,Medium duty trucks,VMT,2020,"296.682,14"
Transportation,On-Road,Heavy duty trucks,VMT,2020,"1.224.872,13"
Transportation,On-Road,SWCV,VMT,2020,"68.528,38"
Transportation,On-Road,Bus,VMT,2020,"379.450,49"
Transportation,On-Road,Passenger cars,VMT,2021,"11.786.638,53"
Transportation,On-Road,Medium duty trucks,VMT,2021,"329.452,60"
Transportation,On-Road,Heavy duty trucks,VMT,2021,"1.336.931,49"
Transportation,On-Road,SWCV,VMT,2021,"74.797,81"
Transportation,On-Road,Bus,VMT,2021,"455.592,29"
